CONTENT_LENGTH,SOURCE_APP_BYTES,WHOIS_UPDATED_DATE,REMOTE_APP_PACKETS,WHOIS_REGDATE,WHOIS_COUNTRY,WHOIS_STATEPRO,Type
0.000405,0.00056,0.334797,0.007788,0.066367,0.97619,0.154472,1.0
0.023237,0.000614,0.497297,0.014798,0.382452,0.97619,0.154472,0.0
0.000499,0,0.433446,0,0.449719,0.97619,0.154472,0.0
0.00025,0.009118,0.114865,0.028816,0.906637,0.97619,0.01626,0.0
0.191201,0.063053,0.070946,0.048287,0.104612,0.97619,0.845528,0.0
0.011481,0.000407,0.746622,0.010125,0.724409,0.785714,0.455285,0.0
0.000531,0.004155,0.016892,0.010125,0.68279,0.97619,0.178862,0.0
0.000499,0,0.341216,0,0.290214,0.97619,0.227642,0.0
0.000992,0.000103,0.578378,0.002336,0.950506,0.97619,0.154472,1.0
0.000992,0.00003,0.578378,0.000779,0.950506,0.97619,0.154472,1.0
0.0116,0,0.986486,0,0.170979,0.97619,0.341463,0.0
0.000499,0,0.532095,0,0.474691,0.97619,0.178862,0.0
0.021125,0.001133,0.900338,0.015576,0.085489,0.357143,0.414634,0.0
0.005686,0.007965,0.342905,0.022586,0.178853,0.97619,0.154472,0.0
0.020106,0,0.616554,0,0.456243,0.97619,0.154472,0.0
0.001474,0.000951,0.820946,0.007788,0.237345,0.952381,0.878049,1.0
0.001057,0.000767,0.52027,0.007009,0.546682,0.761905,0.650407,1.0
0.000499,0.000273,0.032095,0.007009,0.986502,0.97619,0.154472,0.0
0.023142,0.007513,0.458108,0.01324,0.413273,0.97619,0.154472,0.0
0.000499,0.000657,0.567568,0.007009,0.206974,0.97619,0.178862,1.0
0.016744,0.01092,0.923986,0.03271,0.716535,0.97619,0.154472,0.0
0.00049,0.000309,0.706081,0.007788,0.375703,0.97619,0.837398,0.0
0.000345,0.000181,0.143581,0.004673,0.109111,0.97619,0.154472,0.0
0.006809,0.002507,0.209459,0.009346,0.421822,0.047619,0.910569,0.0
0.012119,0.000688,0.481419,0.007788,0.022497,0.97619,0.227642,0.0
0.000679,0,0.376689,0,0.121485,0.97619,0.682927,0.0
0.002257,0,0.353041,0,0.300337,0.97619,0.845528,0.0
0.010275,0,0.733108,0,0.787402,0.166667,0.02439,0.0
0.010665,0.006515,0.16723,0.015576,0.63892,0.97619,0.227642,0.0
0.000668,0,0.194257,0,0.953881,0.690476,0.707317,0.0
0.000499,0,0.304054,0,0.230596,0.809524,0.317073,0.0
0.020024,0,0.20473,0,0.391676,0.97619,0.154472,0.0
