CONTENT_LENGTH,WHOIS_UPDATED_DATE,WHOIS_REGDATE,WHOIS_COUNTRY,WHOIS_STATEPRO,SERVER,NUMBER_SPECIAL_CHARACTERS,Type
0.000405,0.334797,0.066367,0.97619,0.154472,0.743697,0.052632,1.0
0.023237,0.497297,0.382452,0.97619,0.154472,0.247899,0.026316,0.0
0.000499,0.433446,0.449719,0.97619,0.154472,0.516807,0.026316,0.0
0.00025,0.114865,0.906637,0.97619,0.01626,0.743697,0.026316,0.0
0.191201,0.070946,0.104612,0.97619,0.845528,0.739496,0.026316,0.0
0.011481,0.746622,0.724409,0.785714,0.455285,0.743697,0.052632,0.0
0.000531,0.016892,0.68279,0.97619,0.178862,0.063025,0.026316,0.0
0.000499,0.341216,0.290214,0.97619,0.227642,0.516807,0.026316,0.0
0.000992,0.578378,0.950506,0.97619,0.154472,0.789916,0,1.0
0.000992,0.578378,0.950506,0.97619,0.154472,0.789916,0,1.0
0.0116,0.986486,0.170979,0.97619,0.341463,0.021008,0.026316,0.0
0.000499,0.532095,0.474691,0.97619,0.178862,0.516807,0.026316,0.0
0.021125,0.900338,0.085489,0.357143,0.414634,0.739496,0.052632,0.0
0.005686,0.342905,0.178853,0.97619,0.154472,0.743697,0.026316,0.0
0.020106,0.616554,0.456243,0.97619,0.154472,0.117647,0.052632,0.0
0.001474,0.820946,0.237345,0.952381,0.878049,0.306723,0.052632,1.0
0.001057,0.52027,0.546682,0.761905,0.650407,0.743697,0.052632,1.0
0.000499,0.032095,0.986502,0.97619,0.154472,0.516807,0.026316,0.0
0.023142,0.458108,0.413273,0.97619,0.154472,0.743697,0.026316,0.0
0.000499,0.567568,0.206974,0.97619,0.178862,0.516807,0.052632,1.0
0.016744,0.923986,0.716535,0.97619,0.154472,0.890756,0.026316,0.0
0.00049,0.706081,0.375703,0.97619,0.837398,0.743697,0.026316,0.0
0.000345,0.143581,0.109111,0.97619,0.154472,0.138655,0.026316,0.0
0.006809,0.209459,0.421822,0.047619,0.910569,0.394958,0.052632,0.0
0.012119,0.481419,0.022497,0.97619,0.227642,0.819328,0.026316,0.0
0.000679,0.376689,0.121485,0.97619,0.682927,0.021008,0.026316,0.0
0.002257,0.353041,0.300337,0.97619,0.845528,0.819328,0.026316,0.0
0.010275,0.733108,0.787402,0.166667,0.02439,0.743697,0.026316,0.0
0.010665,0.16723,0.63892,0.97619,0.227642,0.021008,0.026316,0.0
0.000668,0.194257,0.953881,0.690476,0.707317,0.273109,0.026316,0.0
0.000499,0.304054,0.230596,0.809524,0.317073,0.516807,0.026316,0.0
0.020024,0.20473,0.391676,0.97619,0.154472,0.743697,0.026316,0.0
0.005016,0.635135,0.145107,0.97619,0.154472,0.89916,0.052632,0.0
0.010393,0.976351,0.781777,0.97619,0.065041,0.739496,0.026316,0.0
0.142784,0.435473,0.414398,0.97619,0.154472,0.743697,0.052632,0.0
0.001872,0.822635,0.745782,0.97619,0.845528,0.739496,0.026316,0.0
0.007539,0.650338,0.978628,0.357143,0.414634,0.739496,0.026316,0.0
0.046233,0.577703,0.484814,0.97619,0.96748,0.739496,0.026316,0.0
0.022714,0.956081,0.790776,0.97619,0.682927,0.428571,0.026316,0.0
0.004359,0.165541,0.124859,0.452381,0.04065,0.819328,0.026316,0.0
0.00037,0.304054,0.268841,0.97619,0.154472,0.021008,0.026316,0.0
0.006138,0.793919,0.742407,0.166667,0.02439,0.021008,0.026316,0.0
0.000499,0.773649,0.4027,0.97619,0.154472,0.516807,0.026316,0.0
0.009508,0.557432,0.370304,0.97619,0.154472,0.848739,0.078947,1.0
0.000491,0.434797,0.599325,0.452381,0.829268,0.021008,0.105263,1.0
0.003495,0.195946,0.88189,0.595238,0.430894,0.886555,0.026316,0.0
0.000052,0.640203,0.825647,0.97619,0.918699,0.739496,0.026316,0.0
0.049358,0.733108,0.480315,0.97619,0.617886,0.743697,0.052632,0.0
0.002738,0.086149,0.033746,0.97619,0.154472,0.470588,0.026316,0.0
0.017554,0.702703,0.610799,0.97619,0.154472,0.907563,0.026316,0.0
0.000499,0.944257,0.893138,0.166667,0.756098,0.516807,0.026316,0.0
0.000345,0.881757,0.570304,0.97619,0.495935,0.138655,0.078947,0.0
