DIST_REMOTE_TCP_PORT,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,Type
0,0.007788,0.00056,1.0
0.009887,0.014798,0.000614,0.0
0,0,0,0.0
0.031073,0.028816,0.009118,0.0
0.002825,0.048287,0.063053,0.0
0.008475,0.010125,0.000407,0.0
0,0.010125,0.004155,0.0
0,0,0,0.0
0,0.002336,0.000103,1.0
0,0.000779,0.00003,1.0
0,0,0,0.0
0,0,0,0.0
0.008475,0.015576,0.001133,0.0
0.026836,0.022586,0.007965,0.0
0,0,0,0.0
0,0.007788,0.000951,1.0
0,0.007009,0.000767,1.0
0.009887,0.007009,0.000273,0.0
0.001412,0.01324,0.007513,0.0
0,0.007009,0.000657,1.0
0.04096,0.03271,0.01092,0.0
0.008475,0.007788,0.000309,0.0
0.004237,0.004673,0.000181,0.0
0,0.009346,0.002507,0.0
0,0.007788,0.000688,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.004237,0.015576,0.006515,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.00565,0.003115,0.000118,0.0
0.007062,0.008567,0.000338,0.0
0.009887,0.015576,0.002999,0.0
0.019774,0.01947,0.002785,0.0
0,0.006231,0.000552,0.0
0,0.011682,0.000922,0.0
0.00565,0.038941,0.027634,0.0
0,0.008567,0.000892,0.0
0.024011,0.035047,0.005827,0.0
0,0,0,0.0
0,0.003894,0.000154,1.0
0,0.007788,0.000616,1.0
0.076271,0.082555,0.051905,0.0
0.004237,0.058411,0.043936,0.0
0.008475,0.014019,0.002719,0.0
0.009887,0.007009,0.000273,0.0
0.004237,0.003115,0.000118,0.0
0.00565,0.006231,0.000247,0.0
0.002825,0.017913,0.004598,0.0
0.002825,0.012461,0.000893,0.0
0.001412,0.010125,0.000619,0.0
0.008475,0.017134,0.001244,0.0
0.007062,0.01947,0.001888,0.0
0.004237,0.021807,0.00453,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.002825,0.003115,0.000121,0.0
0.007062,0.005452,0.000215,0.0
0,0.01324,0.00682,0.0
0.004237,0.012461,0.00476,0.0
